"Date","Police_ref","Easting","Northing","Severity","Road_cond","Visibility","Casualties","Pedestrian","Cycles","P2W","OAPs","Children","Manoeuvre","Time","Vehicles","Roadclass1","Roadnum1","Road_Type","Speed_Lim","Junct_det","Junct_ctrl","Roadclass2","Roadnum2","Cross_ctrl","Cross_fac","Weather","SpCond","Carr_haz","Day","Location","Local_Auth","ReportedAt","Parish"
20180105,18254751,527293,274601,"3. Slight","1. Dry","1. Daylight",1,0,1,0,0,0,"0. No turn","15:00",2,"3. A",141,"6. Single carriageway",60,"1. Roundabout","4. Give way or Uncontrolled","4. B",1090,"0. None","0. None within 50m","1. Fine without high winds",0,"0. None","6. Friday","WYTON A141 NEAR JN WITH SAWTRY WAY B1090","E07000011","2. No - accident was reported 'over the counter'",271
20180106,18259125,545452,258749,"2. Serious","1. Dry","4. Darkness: street lights present and lit",1,1,0,0,0,0,"0. No turn","19:54",1,"6. Unclassified",0,"1. Roundabout",20,"1. Roundabout","4. Give way or Uncontrolled","6. Unclassified",0,"0. None","1. Zebra crossing","1. Fine without high winds",0,"0. None","7. Saturday","VICTORIA AVENUE AT JN WITH JESUS LANE","E07000008","1. Yes",37
20180106,18264314,537524,306146,"3. Slight","2. Wet/Damp","6. Darkness: no street lighting",3,0,0,0,0,1,"0. No turn","16:20",1,"4. B",1187,"6. Single carriageway",60,"0. Not within 20m of junction",". Not applicable",". Not applicable",0,"0. None","0. None within 50m","1. Fine without high winds",0,"0. None","7. Saturday","MURROWBANK B1187","E07000010","1. Yes",254
20180106,18258382,546422,257021,"3. Slight","2. Wet/Damp","4. Darkness: street lights present and lit",1,0,1,0,0,0,"0. No turn","18:20",2,"6. Unclassified",0,"6. Single carriageway",30,"0. Not within 20m of junction",". Not applicable",". Not applicable",0,"0. None","0. None within 50m","1. Fine without high winds",0,"0. None","7. Saturday","RUSTAT ROAD","E07000008","2. No - accident was reported 'over the counter'",37
20180107,18256894,547601,258012,"2. Serious","1. Dry","1. Daylight",1,0,1,0,0,0,"0. No turn","13:50",2,"3. A",1134,"1. Roundabout",30,"1. Roundabout","4. Give way or Uncontrolled","6. Unclassified",0,"0. None","0. None within 50m","1. Fine without high winds",0,"0. None","1. Sunday","COLDHAMS LANE AT JN WITH BROOKS ROAD","E07000008","2. No - accident was reported 'over the counter'",37
20180107,18260701,533191,289176,"3. Slight","1. Dry","1. Daylight",2,0,0,0,1,0,"0. No turn","15:40",2,"4. B",1096,"6. Single carriageway",60,"0. Not within 20m of junction",". Not applicable",". Not applicable",0,"0. None","0. None within 50m","1. Fine without high winds",0,"0. None","1. Sunday","BENWICK ROAD B1096 NEAR JN WITH WHITE HOUSE FARM","E07000011","1. Yes",184
20180107,18265351,563068,250460,"3. Slight","4. Frost/Ice","1. Daylight",1,0,0,0,0,0,"0. No turn","09:25",1,"6. Unclassified",0,"6. Single carriageway",60,"3. T & Stag Jct","4. Give way or Uncontrolled","6. Unclassified",0,"0. None","0. None within 50m","4. Fine with high winds",0,"0. None","1. Sunday","BURTON END NEAR JN WITH THE COMMON","E07000012","2. No - accident was reported 'over the counter'",243
20180107,18256462,554171,279225,"3. Slight","1. Dry","1. Daylight",1,0,0,0,0,0,"0. No turn","12:40",1,"6. Unclassified",0,"6. Single carriageway",30,"0. Not within 20m of junction",". Not applicable",". Not applicable",0,"0. None","0. None within 50m","1. Fine without high winds",0,"2. Other object in carriageway","1. Sunday","THE DOCK","E07000009","1. Yes",73
20180108,18257320,534994,242854,"3. Slight","1. Dry","6. Darkness: no street lighting",2,0,0,0,0,0,"2. Right turn","17:09",2,"3. A",1198,"6. Single carriageway",50,"8. Pri Drive","4. Give way or Uncontrolled","6. Unclassified",0,"0. None","0. None within 50m","1. Fine without high winds",0,"0. None","2. Monday","GREAT NORTH ROAD A1198 AT JN WITH HIGHFIELDS BUSINESS PARK","E07000012","1. Yes",19
20180108,18257415,519112,299921,"3. Slight","2. Wet/Damp","4. Darkness: street lights present and lit",1,0,1,0,0,0,"0. No turn","18:00",2,"5. C",58,"6. Single carriageway",30,"6. Crossroads","4. Give way or Uncontrolled","6. Unclassified",0,"0. None","0. None within 50m","2. Raining without high winds",0,"0. None","2. Monday","HUNTLY GROVE AT JN WITH DOGSTHORPE ROAD","E06000031","2. No - accident was reported 'over the counter'",181
20180108,18258848,552306,279143,"3. Slight","2. Wet/Damp","1. Daylight",1,0,0,0,1,0,"0. No turn","12:06",2,"3. A",142,"6. Single carriageway",60,"3. T & Stag Jct","4. Give way or Uncontrolled","6. Unclassified",0,"0. None","0. None within 50m","1. Fine without high winds",0,"0. None","2. Monday","WITCHFORD ROAD A142 AT JN WITH PARADISE FARM","E07000009","1. Yes",0
20180108,18289674,545203,312384,"2. Serious","2. Wet/Damp","7. Darkness: street lighting unknown",2,0,0,0,0,0,"0. No turn","00:37",1,"3. A",1101,"3. Dual carriageway",60,"0. Not within 20m of junction",". Not applicable",". Not applicable",0,"0. None","0. None within 50m","9. Unknown",0,"0. None","2. Monday","OUTSIDE EVERGREENS SUTTON ROAD A1101","E07000010","1. Yes",0
20180108,18257183,518126,295754,"3. Slight","2. Wet/Damp","1. Daylight",1,0,0,0,0,0,"0. No turn","07:40",2,"3. A",1139,"7. Slip road",60,"0. Not within 20m of junction",". Not applicable",". Not applicable",0,"0. None","1. Zebra crossing","1. Fine without high winds",0,"0. None","2. Monday","FLETTON PARKWAY","E06000031","2. No - accident was reported 'over the counter'",181
20180109,18258548,545643,309865,"3. Slight","1. Dry","4. Darkness: street lights present and lit",1,0,1,0,0,0,"0. No turn","20:14",2,"5. C",313,"6. Single carriageway",30,"0. Not within 20m of junction",". Not applicable",". Not applicable",0,"0. None","0. None within 50m","1. Fine without high winds",0,"0. None","3. Tuesday","HARECROFT ROAD","E07000010","1. Yes",253
20180109,18259044,503854,304255,"2. Serious","2. Wet/Damp","6. Darkness: no street lighting",1,0,0,0,0,0,"0. No turn","17:30",1,"6. Unclassified",0,"6. Single carriageway",60,"5. Slip Road","4. Give way or Uncontrolled","3. A",1,"0. None","0. None within 50m","1. Fine without high winds",7,"0. None","3. Tuesday","RACECOURSE ROAD AT JN WITH A1","E06000031","1. Yes",262
20180109,18261909,546052,252052,"3. Slight","1. Dry","5. Darkness: street lights present but unlit",1,0,1,0,0,0,"0. No turn","17:15",2,"5. C",284,"6. Single carriageway",30,"0. Not within 20m of junction",". Not applicable",". Not applicable",0,"0. None","0. None within 50m","1. Fine without high winds",0,"0. None","3. Tuesday","OUTSIDE THE CO-OP HIGH STREET","E07000012","2. No - accident was reported 'over the counter'",99
20180109,18265151,518417,260410,"3. Slight","2. Wet/Damp","1. Daylight",1,1,0,0,0,0,"0. No turn","11:40",1,"6. Unclassified",0,"6. Single carriageway",30,"0. Not within 20m of junction",". Not applicable",". Not applicable",0,"0. None","1. Zebra crossing","1. Fine without high winds",0,"0. None","3. Tuesday","MOORES WALK TEBBUTTS ROAD","E07000011","2. No - accident was reported 'over the counter'",189
20180109,18265637,539453,266530,"3. Slight","2. Wet/Damp","6. Darkness: no street lighting",1,0,0,0,0,0,"0. No turn","17:15",1,"3. A",14,"6. Single carriageway",30,"9. Other","4. Give way or Uncontrolled","6. Unclassified",0,"0. None","0. None within 50m","1. Fine without high winds",0,"0. None","3. Tuesday","HATTONS ROAD B1050 AT JN WITH HAZLEWOOD COURT","E07000012","1. Yes",150
20180109,18272159,539400,303065,"3. Slight","2. Wet/Damp","4. Darkness: street lights present and lit",3,0,0,0,0,0,"2. Right turn","20:21",2,"3. A",47,"6. Single carriageway",40,"8. Pri Drive","4. Give way or Uncontrolled","6. Unclassified",0,"0. None","0. None within 50m","8. Other",0,"0. None","3. Tuesday","FEN ROAD A47 AT JN WITH PRIVATE DRIVE","E07000010","1. Yes",254
20180109,18259534,541801,256390,"3. Slight","2. Wet/Damp","4. Darkness: street lights present and lit",1,0,0,0,0,0,"0. No turn","03:40",1,"3. A",603,"1. Roundabout",60,"1. Roundabout","4. Give way or Uncontrolled","1. Motorway",11,"0. None","0. None within 50m","1. Fine without high winds",0,"0. None","3. Tuesday","CAMBRIDGE ROAD A603 AT JN WITH JUNCTION 12 M11","E07000008","1. Yes",0
20180109,18257452,546461,257215,"3. Slight","1. Dry","1. Daylight",1,0,1,0,0,0,"2. Right turn","09:05",2,"6. Unclassified",0,"1. Roundabout",30,"2. Mini roundabout","4. Give way or Uncontrolled","6. Unclassified",0,"0. None","0. None within 50m","1. Fine without high winds",0,"0. None","3. Tuesday","RUSTAT ROAD AT JUNCTION WITH DAVY ROAD.","E07000008","2. No - accident was reported 'over the counter'",0
20180109,18257759,531371,271262,"3. Slight","1. Dry","1. Daylight",1,0,0,0,1,0,"0. No turn","10:45",1,"5. C",303,"6. Single carriageway",30,"0. Not within 20m of junction",". Not applicable",". Not applicable",0,"0. None","0. None within 50m","1. Fine without high winds",0,"0. None","3. Tuesday","MARKET HILL","E07000011","1. Yes",186
20180110,18258585,557515,264484,"3. Slight","2. Wet/Damp","6. Darkness: no street lighting",2,0,0,0,0,1,"0. No turn","15:35",2,"4. B",1102,"6. Single carriageway",60,"3. T & Stag Jct","4. Give way or Uncontrolled","6. Unclassified",0,"0. None","0. None within 50m","2. Raining without high winds",0,"0. None","4. Wednesday","MILL HILL B1102 AT JN WITH ROGERS ROAD","E07000009","1. Yes",214
20180110,18258951,533547,259948,"3. Slight","2. Wet/Damp","1. Daylight",1,0,0,0,0,0,"2. Right turn","14:45",1,"6. Unclassified",0,"6. Single carriageway",30,"3. T & Stag Jct","4. Give way or Uncontrolled","6. Unclassified",0,"0. None","0. None within 50m","1. Fine without high winds",0,"0. None","4. Wednesday","SAINT NEOTS ROAD AT JN WITH BROADWAY","E07000012","1. Yes",135
20180110,18259101,518635,303357,"3. Slight","2. Wet/Damp","1. Daylight",3,0,0,0,0,2,"0. No turn","15:30",3,"3. A",15,"3. Dual carriageway",70,"0. Not within 20m of junction",". Not applicable",". Not applicable",0,"0. None","0. None within 50m","1. Fine without high winds",4,"0. None","4. Wednesday","PASTON PARKWAY A15 NEAR JN WITH GUNTHORPE ROAD","E06000031","1. Yes",162
20180110,18260787,519837,297855,"3. Slight","2. Wet/Damp","5. Darkness: street lights present but unlit",1,0,0,0,0,0,"0. No turn","08:20",3,"3. A",1139,"3. Dual carriageway",50,"0. Not within 20m of junction",". Not applicable",". Not applicable",0,"0. None","0. None within 50m","2. Raining without high winds",0,"0. None","4. Wednesday","FRANK PERKINS PARKWAY A1139 NEAR JN WITH SOKA PARKWAY A1260","E06000031","1. Yes",181
20180110,18289709,517353,261196,"3. Slight","1. Dry","1. Daylight",1,0,0,0,0,0,"0. No turn","14:55",1,"4. B",645,"6. Single carriageway",30,"0. Not within 20m of junction",". Not applicable",". Not applicable",0,"0. None","0. None within 50m","1. Fine without high winds",0,"0. None","4. Wednesday","B645 NEAR JN WITH GREAT NORTH ROAD","E07000011","1. Yes",189
20180110,18276229,542550,261445,"3. Slight","2. Wet/Damp","4. Darkness: street lights present and lit",2,0,0,0,0,0,"0. No turn","09:30",3,"3. A",14,"3. Dual carriageway",70,"0. Not within 20m of junction",". Not applicable",". Not applicable",0,"0. None","0. None within 50m","2. Raining without high winds",4,"0. None","4. Wednesday","A14 (WBC).","E07000012","1. Yes",0
20180110,18256999,539306,286246,"3. Slight","2. Wet/Damp","1. Daylight",1,0,1,0,0,0,"2. Right turn","07:57",2,"4. B",1098,"6. Single carriageway",30,"3. T & Stag Jct","4. Give way or Uncontrolled","4. B",1098,"0. None","0. None within 50m","8. Other",0,"0. None","4. Wednesday","NEW ROAD B1098 AT JN WITH HIGH STREET B1098","E07000010","2. No - accident was reported 'over the counter'",43
20180111,18261711,550240,279402,"3. Slight","2. Wet/Damp","6. Darkness: no street lighting",3,0,0,0,0,1,"0. No turn","17:36",3,"3. A",142,"3. Dual carriageway",60,"0. Not within 20m of junction",". Not applicable",". Not applicable",0,"0. None","0. None within 50m","2. Raining without high winds",0,"0. None","5. Thursday","ELY ROAD A142 NEAR JN WITH WITCHFORD ROUNDABOUT","E07000009","1. Yes",257
20180111,18261730,552073,249937,"3. Slight","1. Dry","4. Darkness: street lights present and lit",1,0,0,0,0,0,"0. No turn","17:43",2,"3. A",11,"3. Dual carriageway",70,"0. Not within 20m of junction",". Not applicable",". Not applicable",0,"0. None","0. None within 50m","1. Fine without high winds",0,"0. None","5. Thursday","A11 A11 NEAR JN WITH CAMBRIDGE ROAD A1307","E07000012","1. Yes",141
20180111,18264315,551860,249288,"3. Slight","1. Dry","1. Daylight",1,0,0,0,0,0,"0. No turn","15:55",2,"3. A",11,"3. Dual carriageway",70,"5. Slip Road","4. Give way or Uncontrolled","3. A",505,"0. None","0. None within 50m","1. Fine without high winds",0,"0. None","5. Thursday","OFF SLIP ROAD A11 AT JN WITH A505","E07000012","1. Yes",176
20180111,18258961,516145,297910,"3. Slight","1. Dry","4. Darkness: street lights present and lit",2,0,0,0,0,0,"0. No turn","16:45",2,"3. A",1260,"3. Dual carriageway",70,"0. Not within 20m of junction",". Not applicable",". Not applicable",0,"0. None","0. None within 50m","1. Fine without high winds",0,"0. None","5. Thursday","NENE PARKWAY (A1260) NEAR JUNCTION FOR SLIP ROAD TO ROUNDABOUT AT JUNCTION WITH THORPE WOOD.","E06000031","1. Yes",0
20180111,18258938,519470,300235,"3. Slight","1. Dry","7. Darkness: street lighting unknown",1,1,1,0,0,1,"0. No turn","17:35",1,"6. Unclassified",0,"6. Single carriageway",30,"0. Not within 20m of junction",". Not applicable",". Not applicable",0,"0. None","0. None within 50m","1. Fine without high winds",0,"0. None","5. Thursday","QUEENS GARDENS NR TRAFFIC LIGHTS NEAR JN WITH .","E06000031","2. No - accident was reported 'over the counter'",181
20180112,18264609,541077,255309,"3. Slight","1. Dry","1. Daylight",1,0,0,0,0,0,"0. No turn","09:00",3,"3. A",603,"6. Single carriageway",30,"0. Not within 20m of junction",". Not applicable",". Not applicable",0,"0. None","0. None within 50m","1. Fine without high winds",0,"0. None","6. Friday","WALLIS & SONS WIMPOLE ROAD","E07000012","1. Yes",18
20180112,18259850,546034,257612,"3. Slight","1. Dry","4. Darkness: street lights present and lit",1,0,0,0,0,0,"0. No turn","19:20",2,"6. Unclassified",0,"6. Single carriageway",30,"0. Not within 20m of junction",". Not applicable",". Not applicable",0,"0. None","0. None within 50m","1. Fine without high winds",0,"0. None","6. Friday","TENISON ROAD","E07000008","2. No - accident was reported 'over the counter'",37
20180113,18261897,546396,279109,"3. Slight","1. Dry","4. Darkness: street lights present and lit",1,0,0,0,0,0,"0. No turn","20:43",2,"3. A",142,"6. Single carriageway",50,"3. T & Stag Jct","4. Give way or Uncontrolled","6. Unclassified",0,"0. None","5. Ped. phase at traffic signal junction","1. Fine without high winds",0,"0. None","7. Saturday","ELY ROAD A142 AT JN WITH HADDENHAM ROAD","E07000009","1. Yes",238
20180113,18270184,564396,262596,"3. Slight","2. Wet/Damp","4. Darkness: street lights present and lit",1,1,0,0,0,0,"0. No turn","23:02",1,"6. Unclassified",0,"6. Single carriageway",30,"0. Not within 20m of junction",". Not applicable",". Not applicable",0,"0. None","0. None within 50m","1. Fine without high winds",0,"0. None","7. Saturday","16 CROCKFORDS ROAD NEAR JN WITH THE AVENUE NEWMARKET","E07000009","1. Yes",259
20180113,18259133,547275,259424,"3. Slight","1. Dry","1. Daylight",1,0,1,0,0,0,"0. No turn","14:03",2,"3. A",1134,"6. Single carriageway",30,"3. T & Stag Jct","4. Give way or Uncontrolled","6. Unclassified",0,"0. None","0. None within 50m","1. Fine without high winds",0,"0. None","7. Saturday","NEWMARKET ROAD A1134 NEAR JN WITH DITTON WALK","E07000008","1. Yes",37
20180115,18271852,533073,267529,"3. Slight","2. Wet/Damp","1. Daylight",1,0,0,0,0,0,"0. No turn","12:08",2,"3. A",14,"3. Dual carriageway",50,"0. Not within 20m of junction",". Not applicable",". Not applicable",0,"0. None","0. None within 50m","1. Fine without high winds",0,"0. None","2. Monday","HUNTINGDON ROAD A14","E07000012","2. No - accident was reported 'over the counter'",80
20180115,18259877,518101,302204,"2. Serious","1. Dry","4. Darkness: street lights present and lit",2,2,0,0,0,0,"0. No turn","18:10",1,"6. Unclassified",0,"6. Single carriageway",30,"0. Not within 20m of junction",". Not applicable",". Not applicable",0,"0. None","1. Zebra crossing","1. Fine without high winds",0,"0. None","2. Monday","FULBRIDGE ROAD ON ZEBRA CROSSING NEAR JN WITH FANE ROAD","E06000031","1. Yes",181
20180116,18260905,516650,297301,"3. Slight","1. Dry","7. Darkness: street lighting unknown",1,0,0,0,0,0,"0. No turn","16:55",2,"6. Unclassified",0,"3. Dual carriageway",30,"0. Not within 20m of junction",". Not applicable",". Not applicable",0,"0. None","0. None within 50m","1. Fine without high winds",0,"0. None","3. Tuesday","NENE PARKWAY","E06000031","2. No - accident was reported 'over the counter'",181
20180116,18261035,531208,271803,"3. Slight","1. Dry","1. Daylight",1,0,1,0,0,1,"0. No turn","15:30",2,"6. Unclassified",0,"9. Unknown",20,"0. Not within 20m of junction",". Not applicable",". Not applicable",0,"0. None","0. None within 50m","1. Fine without high winds",0,"0. None","3. Tuesday","EDEN PLACE CAR PARK, LANGLEY CLOSE","E07000011","2. No - accident was reported 'over the counter'",186
20180116,18263192,543172,252543,"2. Serious","2. Wet/Damp","1. Daylight",2,0,0,0,0,0,"0. No turn","07:35",3,"3. A",10,"6. Single carriageway",40,"0. Not within 20m of junction",". Not applicable",". Not applicable",0,"0. None","0. None within 50m","1. Fine without high winds",0,"7. Any animal in carriageway (except ridden horse)","3. Tuesday","CAMBRIDGE ROAD A10, 50M NORTH OF ENTRANCE TO HAUXTON MEADOWS HOUSING DEVELOPMENT","E07000012","1. Yes",112
20180116,18263318,547418,257311,"2. Serious","2. Wet/Damp","4. Darkness: street lights present and lit",1,0,1,0,0,0,"0. No turn","17:20",2,"6. Unclassified",0,"7. Slip road",30,"0. Not within 20m of junction",". Not applicable",". Not applicable",0,"0. None","0. None within 50m","8. Other",0,"0. None","3. Tuesday","186 PERNE ROAD","E07000008","1. Yes",37
20180116,18263361,543808,259787,"3. Slight","1. Dry","4. Darkness: street lights present and lit",1,1,0,0,0,0,"0. No turn","17:20",1,"3. A",1307,"6. Single carriageway",30,"9. Other","4. Give way or Uncontrolled","6. Unclassified",0,"0. None","1. Zebra crossing","1. Fine without high winds",0,"0. None","3. Tuesday","HUNTINGDON ROAD A1307 AT JN WITH OXFORD ROAD","E07000008","1. Yes",37
20180116,18265791,521319,301561,"3. Slight","1. Dry","1. Daylight",1,0,0,0,0,0,"0. No turn","13:20",2,"3. A",15,"1. Roundabout",70,"1. Roundabout","4. Give way or Uncontrolled","3. A",1139,"0. None","0. None within 50m","1. Fine without high winds",0,"0. None","3. Tuesday","PASTON PARKWAY A15","E06000031","1. Yes",181
20180116,18270215,549615,256078,"3. Slight","2. Wet/Damp","1. Daylight",1,0,0,0,1,0,"0. No turn","08:50",3,"6. Unclassified",0,"6. Single carriageway",30,"0. Not within 20m of junction",". Not applicable",". Not applicable",0,"0. None","0. None within 50m","1. Fine without high winds",0,"0. None","3. Tuesday","CAMBRIDGE ROAD NEAR JN WITH HOSPITAL","E07000012","1. Yes",86
20180116,18264280,515350,302156,"3. Slight","1. Dry","1. Daylight",3,0,0,0,0,0,"0. No turn","14:16",2,"6. Unclassified",0,"6. Single carriageway",60,"0. Not within 20m of junction",". Not applicable",". Not applicable",0,"0. None","0. None within 50m","1. Fine without high winds",0,"0. None","3. Tuesday","WALTON ROAD NEAR JN WITH WOODCROFT ROAD","E06000031","1. Yes",0
20180116,18258704,520334,294633,"3. Slight","2. Wet/Damp","1. Daylight",1,0,0,0,0,0,"0. No turn","08:12",2,"6. Unclassified",0,"6. Single carriageway",30,"0. Not within 20m of junction",". Not applicable",". Not applicable",0,"0. None","0. None within 50m","1. Fine without high winds",0,"0. None","3. Tuesday","OUTSIDE NUMBER 12 MAIN STREET","E07000011","2. No - accident was reported 'over the counter'",78
20180117,18260875,532275,296760,"3. Slight","1. Dry","1. Daylight",3,0,0,0,0,1,"0. No turn","08:30",2,"5. C",69,"6. Single carriageway",60,"0. Not within 20m of junction",". Not applicable",". Not applicable",0,"0. None","0. None within 50m","4. Fine with high winds",0,"0. None","4. Wednesday","MARCH ROAD NEAR JN WITH TURF DROVE","E07000010","1. Yes",245
20180117,18261911,529153,269284,"3. Slight","1. Dry","1. Daylight",2,0,0,0,0,0,"0. No turn","07:25",4,"3. A",14,"3. Dual carriageway",70,"0. Not within 20m of junction",". Not applicable",". Not applicable",0,"0. None","0. None within 50m","4. Fine with high winds",0,"0. None","4. Wednesday","A14","E07000011","1. Yes",115
20180117,18264233,521618,301058,"3. Slight","1. Dry","1. Daylight",1,0,0,0,0,0,"0. No turn","09:10",2,"6. Unclassified",0,"6. Single carriageway",30,"3. T & Stag Jct","4. Give way or Uncontrolled","6. Unclassified",0,"0. None","0. None within 50m","1. Fine without high winds",0,"0. None","4. Wednesday","SALTERGATE AT JN WITH PARNWELL","E06000031","1. Yes",181
20180117,18262899,538191,264083,"3. Slight","1. Dry","4. Darkness: street lights present and lit",1,0,0,0,0,0,"0. No turn","19:27",2,"3. A",14,"3. Dual carriageway",30,"0. Not within 20m of junction",". Not applicable",". Not applicable",0,"0. None","0. None within 50m","1. Fine without high winds",4,"0. None","4. Wednesday","BARHILL SLIP A14","E07000012","2. No - accident was reported 'over the counter'",0
